title,author,cover_url,series,series_number,year,subgenre,age_category,standalone,spice_level,door,spice_frequency,heat_type,tropes,mood,content_warnings,representation,energy,pacing,pov,mc_archetype,li_archetype,relationship_type,who_falls_first,ending,cliffhanger,setting,world_type,comp_titles,rating_avg,featured,status,blurb
Muse of Nightmares,Laini Taylor,,Strange the Dreamer,2,2018,romantasy,YA,false,1,closed,none,,forbidden-love; sacrifice; slow-burn; found-family,emotional,,,,,3rd dual,,,MF,,HEA,false,,high-fantasy,,,,live,"In the wake of Weep, Sarai must survive as one thing she was never supposed to be, and Lazlo must reckon with a name none of them anticipated. Taylor's Strange the Dreamer duology closes as beautifully as it began."
Cinder,Marissa Meyer,,The Lunar Chronicles,1,2012,sci-fi-romance,YA,false,1,closed,none,,hidden-identity; forbidden-love; chosen-one; slow-burn,adventurous,,,,,3rd single,,,MF,,cliffhanger,true,,sci-fi,,,,live,Cinder is a cyborg mechanic in plague-ridden New Beijing — and the emperor's son has just brought his broken android to her stall. Marissa Meyer's fairy-tale-meets-space-opera quartet begins with Cinderella and gets bigger every book.
Scarlet,Marissa Meyer,,The Lunar Chronicles,2,2013,sci-fi-romance,YA,false,1,closed,none,,forced-proximity; enemies-to-lovers; found-family; slow-burn,adventurous,,,,,multi,,,MF,,cliffhanger,true,,sci-fi,,,,live,Scarlet Benoit hunts across France for her missing grandmother — with the help of a very hungry street fighter named Wolf. Meanwhile Cinder is breaking out of prison. The Lunar Chronicles' Red Riding Hood installment.
Cress,Marissa Meyer,,The Lunar Chronicles,3,2014,sci-fi-romance,YA,false,1,closed,none,,forced-proximity; found-family; slow-burn; hidden-identity,adventurous,,,,,multi,,,MF,,cliffhanger,true,,sci-fi,,,,live,"A hacker locked alone in an orbiting satellite. A charming thief who is finally not lying. The Lunar Chronicles' Rapunzel arc: the crew grows, the stakes climb, the ships multiply."
Winter,Marissa Meyer,,The Lunar Chronicles,4,2015,sci-fi-romance,YA,false,1,closed,none,,chosen-one; war; found-family; forbidden-love,adventurous,,,,,multi,,,MF,,HEA,false,,sci-fi,,,,live,Princess Winter is losing her mind but never her kindness; Jacin is losing everything else to keep her safe. Meyer's blockbuster Snow White finale to The Lunar Chronicles — 800+ pages of payoff for every one of her four couples.
The Jasmine Throne,Tasha Suri,,The Burning Kingdoms,1,2021,romantasy,Adult,false,3,open,occasional,,enemies-to-lovers; forbidden-love; slow-burn; sacrifice,angsty,,,,,3rd dual,,,FF,,cliffhanger,true,,high-fantasy,,,,live,Princess Malini has been exiled to a haunted temple to atone for defying her tyrant brother; the maidservant Priya has secrets that could burn the entire empire down. Tasha Suri's Indian-inspired sapphic epic is the current gold standard for adult queer romantasy.
The Oleander Sword,Tasha Suri,,The Burning Kingdoms,2,2022,romantasy,Adult,false,3,open,occasional,,forbidden-love; war; morally-grey; sacrifice,angsty,,,,,3rd dual,,,FF,,cliffhanger,true,,high-fantasy,,,,live,"Malini rides to war, Priya is elder now of a temple that answers to gods older than empire, and the yaksa have their own ideas about what these two are. Suri's middle book is a knife."
The Lotus Empire,Tasha Suri,,The Burning Kingdoms,3,2024,romantasy,Adult,false,3,open,occasional,,forbidden-love; war; morally-grey; sacrifice,emotional,,,,,3rd dual,,,FF,,HFN,false,,high-fantasy,,,,live,One of them will be empress; one of them will be something the empire cannot survive. Suri closes the Burning Kingdoms with everything the trilogy has been threatening from page one.
Wicked Saints,Emily A. Duncan,,Something Dark and Holy,1,2019,romantasy,YA,false,2,fade,rare,,enemies-to-lovers; forbidden-love; hidden-identity; forced-proximity,dark,,,,,1st dual,,,MF,,cliffhanger,true,,high-fantasy,,,,live,"Nadya can speak to gods; Serefin can raise the dead. Their kingdoms have been at war for a century, and the only way to end it may be to work together. A very dark, very Polish/Slavic-inspired romantasy that BookTok has never let go of."
Ruthless Gods,Emily A. Duncan,,Something Dark and Holy,2,2020,romantasy,YA,false,2,fade,rare,,enemies-to-lovers; forbidden-love; morally-grey; slow-burn,dark,,,,,multi,,,MF,,cliffhanger,true,,high-fantasy,,,,live,Nadya is losing her gods and her mind; Malachiasz is losing the man Nadya wanted him to be. Duncan's middle book pulls every fingernail out with love.
Blessed Monsters,Emily A. Duncan,,Something Dark and Holy,3,2021,romantasy,YA,false,2,fade,rare,,forbidden-love; sacrifice; morally-grey; war,emotional,,,,,multi,,,MF,,HFN,false,,high-fantasy,,,,live,"The old gods, the fallen ones, and a country that never asked for any of them. The trilogy's blood-drenched finale."
Magic Bites,Ilona Andrews,,Kate Daniels,1,2007,paranormal-romance,Adult,false,3,open,occasional,,enemies-to-lovers; slow-burn; hidden-identity; strong-heroine,adventurous,,,,,1st single,,,MF,,HFN,false,,urban-fantasy,,,,live,"Post-magic-apocalypse Atlanta runs on tech when the magic falters and monsters when it doesn't. Kate Daniels is a mercenary with a sword named Slayer and a very dangerous secret. And the local Beast Lord, Curran, has taken an unwelcome interest. The book that launched Ilona Andrews' 10-book urban fantasy romance."
Slave to Sensation,Nalini Singh,,Psy-Changeling,1,2006,paranormal-romance,Adult,false,4,open,frequent,,forbidden-love; enemies-to-lovers; touch-her-and-die; slow-burn,angsty,,,,,3rd dual,,,MF,,HEA,false,,paranormal,,,,live,"In a world where the Psy have chosen cold logic over emotion, Sascha Duncan is a defective Psy who feels — a secret that will get her executed. Then she is assigned to work with Lucas Hunter, alpha of a leopard shifter pack, who can smell her fear. Nalini Singh's foundational Psy-Changeling launch."
Angels' Blood,Nalini Singh,,Guild Hunter,1,2009,paranormal-romance,Adult,false,4,open,frequent,,enemies-to-lovers; forced-proximity; touch-her-and-die; slow-burn,dark,,,,,1st dual,,,MF,,HEA,false,,urban-fantasy,,,,live,"Elena Deveraux hunts vampires who break their contracts with angels; the archangel Raphael has just hired her to hunt one of his own. Nalini Singh's second foundational series — angels with claws, vampires as accessories, and an alpha romance that runs 15 books."
Dark Lover,J. R. Ward,,Black Dagger Brotherhood,1,2005,paranormal-romance,Adult,false,5,open,frequent,,enemies-to-lovers; touch-her-and-die; forbidden-love; slow-burn,dark,,,,,3rd dual,,,MF,,HEA,false,,urban-fantasy,,,,live,The last purebred vampire warrior on earth needs a mate to carry on his line — but his fated is a half-human woman raised outside the shadow world he protects. J. R. Ward's Black Dagger Brotherhood: 20+ books of alpha vampires with muscle cars and modern R&B soundtracks. The book that shaped a genre.
A Hunger Like No Other,Kresley Cole,,Immortals After Dark,2,2006,paranormal-romance,Adult,false,5,open,frequent,,enemies-to-lovers; touch-her-and-die; forced-proximity; fated-mates,dark,,,,,3rd dual,,,MF,,HEA,false,,urban-fantasy,,,,live,"Emmaline Troy, a half-Valkyrie half-vampire who has never fed, walks straight into Lachlain MacRieve, the werewolf king who has spent a century in hell waiting for his mate. Kresley Cole's Immortals After Dark took paranormal romance and turned every dial to eleven."
Written in Red,Anne Bishop,,The Others,1,2013,paranormal-romance,Adult,false,1,closed,none,,hidden-identity; slow-burn; found-family; forbidden-love,cozy,,,,,3rd dual,,,MF,,HFN,false,,urban-fantasy,,,,live,"Meg Corbyn is a cassandra sangue — a blood prophet — who has escaped the compound that farms her. She takes shelter in the Courtyard of the Others, run by beings who have never wanted humans this close. The book that launched Anne Bishop's beloved, slow-burning, found-family Others series."
The Goblin Emperor,Katherine Addison,,,,2014,high-fantasy,Adult,true,1,closed,none,,hidden-identity; court-intrigue; found-family; slow-burn,cozy,,,,,3rd single,,,MF,,HEA,false,,high-fantasy,,,,live,"The half-goblin son of an elvish emperor is called home from exile after an airship kills his entire family — and he is inexplicably the emperor now. A quiet, kind, deeply-satisfying cult-favorite standalone about a boy learning to be good at a job no one expected him to inherit."
Assassin's Apprentice,Robin Hobb,,The Farseer Trilogy,1,1995,high-fantasy,Adult,false,1,closed,none,,hidden-identity; assassin; slow-burn; found-family,emotional,,,,,1st single,,,MF,,HFN,false,,high-fantasy,,,,live,"FitzChivalry Farseer is the bastard son of a prince — raised in the stables, trained in secret to kill, and bound by a magic he was never supposed to have. Robin Hobb's Farseer trilogy is the reason a generation of romantasy readers know what real slow burn feels like."
Jade City,Fonda Lee,,The Green Bone Saga,1,2017,high-fantasy,Adult,false,2,fade,rare,,forbidden-love; mafia; found-family; slow-burn,dark,,,,,multi,,,MF,,HFN,false,,urban-fantasy,,,,live,"On the island of Kekon, magical jade is worn only by trained warriors — and the two families that control it are about to go to war. Fonda Lee's Green Bone Saga: The Godfather crossed with wuxia, with a romance thread that makes book two devastating."
Black Sun,Rebecca Roanhorse,,Between Earth and Sky,1,2020,high-fantasy,Adult,false,2,fade,rare,,chosen-one; forbidden-love; slow-burn; morally-grey,dark,,,,,multi,,,MF,,cliffhanger,true,,high-fantasy,,,,live,A crow-eyed young man is being sailed across the world to arrive on the winter solstice and finish an old prophecy in Tova. The sea captain who carries him has secrets of her own. Rebecca Roanhorse's pre-Columbian-inspired Between Earth and Sky trilogy is one of the most vivid worlds in modern epic fantasy.
The Beautiful,Renée Ahdieh,,The Beautiful,1,2019,paranormal-romance,YA,false,2,fade,rare,,forbidden-love; enemies-to-lovers; vampires; hidden-identity,dark,,,,,3rd dual,,,MF,,cliffhanger,true,,paranormal,,,,live,"Celine Rousseau flees Paris to a convent in 1872 New Orleans — a city ruled by two immortal courts, one of which has just started leaving bodies at her door. Sébastien Saint Germain is the only person she should not want. Ahdieh's Gothic New Orleans vampire romance."
Flame in the Mist,Renée Ahdieh,,Flame in the Mist,1,2017,romantasy,YA,false,2,fade,rare,,hidden-identity; enemies-to-lovers; slow-burn; forbidden-love,angsty,,,,,3rd dual,,,MF,,cliffhanger,true,,historical,,,,live,"On her way to a marriage she never wanted, Mariko's convoy is ambushed and everyone dies except her. Disguising herself as a boy, she infiltrates the outlaw Black Clan that tried to kill her. Renée Ahdieh's Japanese-inspired Mulan retelling."
Mexican Gothic,Silvia Moreno-Garcia,,,,2020,paranormal-romance,Adult,true,2,fade,rare,,gothic; slow-burn; forbidden-love; hidden-identity,dark,,,,,3rd single,,,MF,,HFN,false,,paranormal,,,,live,"In 1950s Mexico, glamorous Noemí Taboada is dispatched to a decaying mining-country mansion to rescue her cousin from the strange English family she married into. What lives in the walls of High Place has been waiting a very long time. Bestselling gothic horror-romance."
The Witch's Heart,Genevieve Gornichec,,,,2021,romantasy,Adult,true,2,fade,rare,,forbidden-love; motherhood; slow-burn; sacrifice,emotional,,,,,3rd single,,,MF,,tragic,false,,historical,,,,live,"Angrboda is a witch who once refused Odin. In exile she takes a wandering trickster to bed and bears him three children — Fenrir, Hel, and Jörmungandr, the three creatures fated to end the gods. Genevieve Gornichec's aching, feminist Norse retelling."
The Stardust Thief,Chelsea Abdullah,,The Sandsea Trilogy,1,2022,romantasy,Adult,false,2,fade,rare,,forced-proximity; enemies-to-lovers; road-trip; slow-burn,adventurous,,,,,multi,,,MF,,cliffhanger,true,,high-fantasy,,,,live,Loulie al-Nazari is a smuggler of magical jinn relics who is very good at not getting caught; the sultan's son who arrests her demands one impossible artifact in exchange for her life. Middle-Eastern-inspired epic romantasy modeled on the Arabian Nights.
House of Salt and Sorrows,Erin A. Craig,,,,2019,romantasy,YA,true,1,closed,none,,hidden-identity; forbidden-love; gothic; mystery,dark,,,,,1st single,,,MF,,HFN,false,,high-fantasy,,,,live,"The Thaumas sisters live in a decaying cliffside manor by the sea; four of the twelve of them are already dead. When Annaleigh's dreams start filling with warnings, she has to find out what's really killing her family. Craig's dark, sea-soaked Twelve Dancing Princesses retelling."
Air Awakens,Elise Kova,,Air Awakens,1,2015,romantasy,YA,false,2,fade,rare,,hidden-identity; enemies-to-lovers; slow-burn; forbidden-love,angsty,,,,,3rd single,,,MF,,cliffhanger,true,,high-fantasy,,,,live,Vhalla Yarl is a library apprentice who has never touched anything more dangerous than a book — until she saves the crown prince's life and is dragged into a magical inheritance she never wanted. Elise Kova's beloved five-book series that launched her career.
The Bone Shard Daughter,Andrea Stewart,,The Drowning Empire,1,2020,romantasy,Adult,false,2,fade,rare,,hidden-identity; slow-burn; forbidden-love; found-family,adventurous,,,,,multi,,,FF,,cliffhanger,true,,high-fantasy,,,,live,"On an empire of islands that migrate across the sea, the emperor's daughter is quietly relearning the forbidden bone-shard magic her father uses to control the world — while every island prepares to rebel. Andrea Stewart's inventive sapphic epic."
